Description,D_Name
"symptoms, causes, signs, patients, bone, ear, complications, otitis, results, muscle, hearing, ventilation, oxygen, 10, changes, breathing, considerations, children, hours, airway",musculoskeletal
"ear, otitis, hearing, media, sinusitis, nose, bleeding, throat, externa, membrane, canal, septum, polyps, speech, obstruction, voice, mouth, cord, packing, sinus",ear_nose
"bone, muscle, joints, ear, hip, bones, deformity, traction, kyphosis, hearing, otitis, disk, exercises, brace, gout, cartilage, osteoporosis, muscles, causes, torticollis",respiratory
